timestamp,agent_id,question_id,response
2025-10-31T23:26:11.009665+00:00,Agent_001,1,Wrong direction
2025-10-31T23:26:11.957600+00:00,Agent_001,2,Good
2025-10-31T23:26:12.961485+00:00,Agent_001,3,Fair/Poor
2025-10-31T23:26:14.085335+00:00,Agent_001,4,Fair/Poor
2025-10-31T23:26:14.567508+00:00,Agent_001,5,Fair/Poor
2025-10-31T23:26:14.992691+00:00,Agent_002,1,Wrong direction
2025-10-31T23:26:16.243827+00:00,Agent_002,2,Fair/Poor
2025-10-31T23:26:16.704812+00:00,Agent_002,3,Fair/Poor
2025-10-31T23:26:17.090689+00:00,Agent_002,4,Fair/Poor
2025-10-31T23:26:17.688508+00:00,Agent_002,5,Fair/Poor
2025-10-31T23:26:18.839278+00:00,Agent_003,1,No opinion
2025-10-31T23:26:19.734386+00:00,Agent_003,2,Fair/Poor
2025-10-31T23:26:20.956700+00:00,Agent_003,3,Fair/Poor
2025-10-31T23:26:21.430417+00:00,Agent_003,4,Good
2025-10-31T23:26:21.908909+00:00,Agent_003,5,Fair/Poor
2025-10-31T23:26:22.478367+00:00,Agent_004,1,Wrong direction
2025-10-31T23:26:22.841140+00:00,Agent_004,2,Good
2025-10-31T23:26:24.347544+00:00,Agent_004,3,Fair/Poor
2025-10-31T23:26:24.990383+00:00,Agent_004,4,Fair/Poor
2025-10-31T23:26:25.473463+00:00,Agent_004,5,Fair/Poor
2025-10-31T23:26:25.885525+00:00,Agent_005,1,Wrong direction
2025-10-31T23:26:26.417736+00:00,Agent_005,2,Good
2025-10-31T23:26:27.029969+00:00,Agent_005,3,Fair/Poor
2025-10-31T23:26:27.592544+00:00,Agent_005,4,Fair/Poor
2025-10-31T23:26:28.125177+00:00,Agent_005,5,Fair/Poor
2025-10-31T23:26:28.606050+00:00,Agent_006,1,Wrong direction
2025-10-31T23:26:29.112815+00:00,Agent_006,2,Good
2025-10-31T23:26:29.660941+00:00,Agent_006,3,Fair/Poor
2025-10-31T23:26:30.139623+00:00,Agent_006,4,Fair/Poor
2025-10-31T23:26:30.464577+00:00,Agent_006,5,Fair/Poor
2025-10-31T23:26:31.054951+00:00,Agent_007,1,No opinion
2025-10-31T23:26:31.457162+00:00,Agent_007,2,Good
2025-10-31T23:26:31.897816+00:00,Agent_007,3,Fair/Poor
2025-10-31T23:26:32.290712+00:00,Agent_007,4,Good
2025-10-31T23:26:32.754878+00:00,Agent_007,5,Fair/Poor
2025-10-31T23:26:33.165901+00:00,Agent_008,1,Right direction
2025-10-31T23:26:33.608958+00:00,Agent_008,2,Good
2025-10-31T23:26:34.167651+00:00,Agent_008,3,Good
2025-10-31T23:26:34.627707+00:00,Agent_008,4,Good
2025-10-31T23:26:34.991321+00:00,Agent_008,5,Fair/Poor
2025-10-31T23:26:35.567012+00:00,Agent_009,1,Right direction
2025-10-31T23:26:35.998455+00:00,Agent_009,2,Good
2025-10-31T23:26:36.412431+00:00,Agent_009,3,Good
2025-10-31T23:26:36.925259+00:00,Agent_009,4,Fair/Poor
2025-10-31T23:26:37.474989+00:00,Agent_009,5,Fair/Poor
2025-10-31T23:26:37.961922+00:00,Agent_010,1,Wrong direction
2025-10-31T23:26:38.409540+00:00,Agent_010,2,Good
2025-10-31T23:26:38.994547+00:00,Agent_010,3,Fair/Poor
2025-10-31T23:26:39.590713+00:00,Agent_010,4,Fair/Poor
2025-10-31T23:26:40.150510+00:00,Agent_010,5,Excellent/Very good
2025-10-31T23:26:40.598061+00:00,Agent_011,1,Right direction
2025-10-31T23:26:41.044611+00:00,Agent_011,2,Good
2025-10-31T23:26:41.437640+00:00,Agent_011,3,Good
2025-10-31T23:26:41.733817+00:00,Agent_011,4,Good
2025-10-31T23:26:42.145126+00:00,Agent_011,5,Fair/Poor
2025-10-31T23:26:42.574239+00:00,Agent_012,1,Wrong direction
2025-10-31T23:26:42.934552+00:00,Agent_012,2,Good
2025-10-31T23:26:43.450671+00:00,Agent_012,3,Fair/Poor
2025-10-31T23:26:43.946712+00:00,Agent_012,4,Good
2025-10-31T23:26:44.518720+00:00,Agent_012,5,Fair/Poor
2025-10-31T23:26:44.965285+00:00,Agent_013,1,Wrong direction
2025-10-31T23:26:46.657820+00:00,Agent_013,2,Good
2025-10-31T23:26:47.157287+00:00,Agent_013,3,Fair/Poor
2025-10-31T23:26:47.782368+00:00,Agent_013,4,Good
2025-10-31T23:26:48.684139+00:00,Agent_013,5,Fair/Poor
2025-10-31T23:26:49.348024+00:00,Agent_014,1,Wrong direction
2025-10-31T23:26:49.889768+00:00,Agent_014,2,Good
2025-10-31T23:26:50.310043+00:00,Agent_014,3,Fair/Poor
2025-10-31T23:26:50.811386+00:00,Agent_014,4,Good
2025-10-31T23:26:51.270095+00:00,Agent_014,5,Fair/Poor
2025-10-31T23:26:52.129615+00:00,Agent_015,1,Wrong direction
2025-10-31T23:26:52.638163+00:00,Agent_015,2,Good
2025-10-31T23:26:53.161551+00:00,Agent_015,3,Fair/Poor
2025-10-31T23:26:53.591743+00:00,Agent_015,4,Fair/Poor
2025-10-31T23:26:54.072882+00:00,Agent_015,5,Fair/Poor
2025-10-31T23:26:54.569329+00:00,Agent_016,1,Wrong direction
2025-10-31T23:26:55.274823+00:00,Agent_016,2,Fair/Poor
2025-10-31T23:26:55.730409+00:00,Agent_016,3,Fair/Poor
2025-10-31T23:26:56.402040+00:00,Agent_016,4,Fair/Poor
2025-10-31T23:26:56.970335+00:00,Agent_016,5,Fair/Poor
2025-10-31T23:26:57.370119+00:00,Agent_017,1,Wrong direction
2025-10-31T23:26:58.048609+00:00,Agent_017,2,Good
2025-10-31T23:26:58.470131+00:00,Agent_017,3,Fair/Poor
2025-10-31T23:26:59.050467+00:00,Agent_017,4,Good
2025-10-31T23:26:59.580425+00:00,Agent_017,5,Fair/Poor
2025-10-31T23:27:00.453456+00:00,Agent_018,1,Wrong direction
2025-10-31T23:27:01.008676+00:00,Agent_018,2,Good
2025-10-31T23:27:01.466045+00:00,Agent_018,3,Good
2025-10-31T23:27:01.917332+00:00,Agent_018,4,Fair/Poor
2025-10-31T23:27:02.940895+00:00,Agent_018,5,Fair/Poor
2025-10-31T23:27:03.405749+00:00,Agent_019,1,Wrong direction
2025-10-31T23:27:04.076297+00:00,Agent_019,2,Fair/Poor
2025-10-31T23:27:04.544856+00:00,Agent_019,3,Good
2025-10-31T23:27:05.212003+00:00,Agent_019,4,Good
2025-10-31T23:27:05.828184+00:00,Agent_019,5,Fair/Poor
2025-10-31T23:27:06.388396+00:00,Agent_020,1,Wrong direction
2025-10-31T23:27:06.787416+00:00,Agent_020,2,Good
2025-10-31T23:27:07.196377+00:00,Agent_020,3,Fair/Poor
2025-10-31T23:27:08.485373+00:00,Agent_020,4,Fair/Poor
2025-10-31T23:27:09.232084+00:00,Agent_020,5,Fair/Poor
2025-10-31T23:27:09.782210+00:00,Agent_021,1,Wrong direction
2025-10-31T23:27:10.207869+00:00,Agent_021,2,Good
2025-10-31T23:27:10.707577+00:00,Agent_021,3,Fair/Poor
2025-10-31T23:27:11.148542+00:00,Agent_021,4,Fair/Poor
2025-10-31T23:27:11.983675+00:00,Agent_021,5,Fair/Poor
2025-10-31T23:27:12.856086+00:00,Agent_022,1,No opinion
